,序号,标题,最后更新,emotion_sentiment,stock,separated
2160,7539,要借鉴科创扳成功经验！,2019年11月7日,0,688001,借鉴 科创 扳 成功经验
2161,10902,"快上车,明天大有作为！，",2019年7月23日,2,688001,快上车 明天 大有作为
2162,2466,高开必低走，万年不变，根本硬不起来,2020年7月22日,0,688001,高开 必低 走 万年 不变 根本 硬 起来
2163,3498,依然那么怂，,2020年5月27日,0,688001,依然 怂
2164,4498,还说过49呢，48就是压力位了[滴汗],2020年3月11日,0,688001,说 压力 位 滴汗
2165,2478,新股太多.像海水,2020年7月22日,0,688001,新股 太多 海水
2166,8891,合理价，去掉一个最前面的，去掉一个最后面的。,2019年8月21日,2,688001,合理 价 去掉 一个 前面 去掉 一个 最后 面
2167,5275,华兴源创(688001)融资融券信息(01-22),2020年1月23日,2,688001,融资 融券 信息
2168,1560,星期一杀到35十连阴[怒][怒][怒][怒],2020年12月11日,0,688001,星期一 杀到 十连阴 怒 怒 怒 怒
2169,2842,"华兴增发价25,现价46.市盈率400.正常40.伪芯片股，借收购搞利益输送，利",2020年7月2日,0,688001,华兴 增发 价 现价 市盈率 正常 伪 芯片 收购 搞 利益输送 利
2170,10525,19.07.22：最高价,2019年7月27日,2,688001,最高价
2171,13275,美股大涨，A股跟了！华为冲击全球第一！ofo名下已无可执行财产；科创板第一股来了,2019年6月19日,0,688001,美股 大涨 股 华为 冲击 全球 第一 名下 无可 执行 财产 科创板 第一股
2172,9764,镰刀对砍，左右手对倒,2019年8月6日,0,688001,镰刀 砍 左右手 倒
2173,9677,难道001的威力今天才测试？,2019年8月7日,0,688001,难道 威力 今天 测试
2174,9531,证金决定下调转融资费率80个基点中国证券金融股份有限公司决定自2019年8月8日,2019年8月7日,2,688001,证金 决定 调转 融资 费率 基点 中国 证券 金融 股份 有限公司 决定 年 月 日
2175,1682,这点成交量，估计一个大户要出来估计会跌停，七个交易日没收复一跟阴线，反抽非常弱，,2020年12月2日,0,688001,这点 成交量 估计 一个 大户 估计 会 跌停 七个 交易日 没 收复 阴线 反 抽 非常 弱
2176,184,华兴源创接受4家机构调研！短期主力资金净流入 市场资金早已察觉,2021年9月12日,2,688001,接受 家 机构 调研 短期 主力 资金 净流入 市场 资金 早已 察觉
2177,10501,垃圾亏损公司还几百亿市值？和主板比只值几亿市值，对应股价人民币两块钱,2019年7月29日,0,688001,垃圾 亏损 公司 几百亿 市值 主板 只值 几亿 市值 对应 股价 人民币 两块钱
2178,2916,要对得起001这个代码！,2020年6月30日,0,688001,对得起 代码
2179,7607,劝大家换成精测电子基本面优秀很多,2019年11月5日,0,688001,劝 大家 换成 精测 电子 基本面 优秀 很多
2180,5960,食品科创第一股嘉必优独角兽，比这个辣鸡好多了,2019年12月19日,0,688001,食品 科创 第一股 独角兽 辣鸡 好多
2181,514,横盘洗两天，不碍事,2021年7月25日,2,688001,横盘 洗 两天 碍事
2182,13225,科创板第一股是家“夫妻店”，客户有苹果、三星，营收利润双下降,2019年6月20日,0,688001,科创板 第一股 家 夫妻店 客户 苹果 三星 营收 利润 双 下降
2183,7609,像这种破公司就该倒闭！看我们鑫鑫同学！大家都来吧,2019年11月5日,0,688001,这种 破 公司 倒闭 鑫鑫 同学 大家 都
2184,11490,明天5元能买到吗？[微笑],2019年7月22日,0,688001,明天 元能 买 微笑
2185,9255,华兴源创：融资净偿还165.72万元，融资余额1.01亿元（08-09）,2019年8月12日,2,688001,融资 净 偿还 万元 融资 余额 亿元
2186,9412,科创板试验出什么了？还不是老套路割韭菜！,2019年8月8日,0,688001,科创板 试验 出 老套路 割 韭菜
2187,7309,现在都是带血的筹码。,2019年11月15日,0,688001,现在 都 带 血 筹码
2188,12978,首发定价24.26元/股 41倍市盈率！科创板第一股华兴源创来了！,2019年6月26日,0,688001,首发 定价 元 倍 市盈率 科创板 第一股
2189,3686,小伙还年轻，需要慢慢长高,2020年5月21日,2,688001,小伙 年轻 需要 慢慢 长高
2190,1540,花心娘躺你还真能躺，躺着吧，躺躺躺,2020年12月16日,0,688001,花心 娘 躺 真能 躺 躺 躺躺 躺
2191,997,华兴源创(688001)融资融券信息(04-16),2021年4月17日,2,688001,融资 融券 信息
2192,12907,华兴源创发行价24.26元/股 还原科创板第一股定价如何出炉,2019年7月2日,0,688001,发行价 元 还原 科创板 第一股 定价 出炉
2193,4775,抄！谁在这里给你讲业绩那就是耍流氓！你，值得拥有！[献花],2020年2月27日,1,688001,抄 讲 业绩 耍流氓 值得 拥有 献花
2194,8718,逐步建仓南微医学,2019年8月26日,2,688001,建仓
2195,4334,华兴大跌小涨的情况很明显还在熊途，收购噱头已耗尽，会创新低,2020年3月24日,0,688001,华兴 大跌 小涨 情况 明显 熊途 收购 噱头 耗尽 会 创新 低
2196,1354,华兴源创：主力资金净流出148.79万元，净占比-6.33%（01-12）,2021年1月12日,2,688001,主力 资金 净 流出 万元 净 占
2197,7201,都快破发了！这是干嘛呢？搞不懂,2019年11月25日,0,688001,都 快 破发 这是 干嘛 搞不懂
2198,10170,一会下杀十个点，把你们的屎都给炸出来,2019年8月1日,0,688001,一会 杀 十个 点 屎 都 炸
2199,1796,故技重演，SB庄够吸血的。随便砸，有种砸出新低，你的酒不是没人买吗？继续拉高吧，,2020年11月11日,0,688001,故技重演 庄够 吸血 随便 砸 有种 砸 出新 低 酒 没人 买 继续 拉高
2200,5507,华兴源创：融资净买入539.19万元，融资余额1.28亿元（01-16）,2020年1月17日,2,688001,融资 净 买入 万元 融资 余额 亿元
2201,8811,这种做检测设备的垃圾票也有人买，,2019年8月23日,0,688001,这种 做 检测 设备 垃圾 票 有人 买
2202,2524,今天不错,2020年7月17日,2,688001,今天 不错
2203,1567,花心娘躺。躺下吧,2020年12月11日,2,688001,花心 娘 躺 躺
2204,5980,敢死队上，富贵险中求,2019年12月19日,0,688001,敢死队 富贵 险中求
2205,1477,想在底部搞事情吗？靠打压能出货吗？,2020年12月24日,0,688001,想 底部 搞 事情 打压 出货
2206,1081,华兴源创：融资余额5815.48万元，创近一年新低（03-12）,2021年3月13日,2,688001,融资 余额 万元 创近 一年 新低
2207,11701,都是玖菜：当天卖就赚了,2019年7月11日,0,688001,都 玖 菜 当天 卖 赚
2208,5919,又折腾一个礼拜了，年底估计不会搞事情了，真正出消息来[大笑],2019年12月22日,0,688001,折腾 一个 礼拜 年底 估计 不会 搞 事情 真正 出 消息 大笑
2209,4558,今天涨停板！,2020年3月9日,2,688001,今天 涨停板
2210,5747,是不是双针探底,2019年12月31日,0,688001,是不是 双针 探底
2211,9800,688001:华兴源创关于使用闲置募集资金进行现金管理的公告,2019年8月5日,1,688001,使用 闲置 募集 资金 进行 现金管理 公告
2212,9217,为明天的20%预备！,2019年8月12日,2,688001,明天 预备
2213,13335,首只科创板IPO打新！华兴源创6月27日新股申购,2019年6月19日,2,688001,首 只科 创板 打新 月 日 新股申购
2214,3819,先是阴跌出货，然后暴力下跌，大户都着急出手,2020年5月11日,0,688001,先是 阴跌 出货 暴力 下跌 大户 都 着急 出手
2215,5704,这股的股吧感觉不活跃啊  是不是买的人不多,2020年1月3日,0,688001,这股 感觉 活跃 是不是 买
2216,10155,你爸爸沃尔德让你停手儿子不能超过爸爸,2019年8月1日,0,688001,爸爸 停手 儿子 不能 超过 爸爸
2217,2553,大跌怎么能少了华兴呢，必须参与啊,2020年7月16日,0,688001,大跌 能少 华兴 必须 参与
2218,1950,华兴源创：融资净偿还28.69万元，融资余额6816.44万元（10-20）,2020年10月21日,2,688001,融资 净 偿还 万元 融资 余额 万元
2219,1077,华兴源创(688001)融资融券信息(03-16),2021年3月17日,2,688001,融资 融券 信息
2220,4676,同学们，我已经清仓此股，略亏。移师金螳螂了，大基建中的装饰工程细分龙头，今年会是,2020年3月3日,0,688001,同学 已经 清仓 此股 略亏 移师 金 螳螂 基建 中 装饰 工程 细分 龙头 今年 会
2221,1991,华兴源创盘前回顾(10-14),2020年10月15日,2,688001,盘前 回顾
2222,10899,加仓啊，兄弟们！,2019年7月23日,2,688001,加仓 兄弟
2223,9388,华兴源创股东户数下降2.73%，户均持股9.03万元,2019年8月9日,0,688001,股东 户数 下降 户均 持股 万元
2224,7683,科创板，厉害啊。反向操作都赚呆了,2019年10月30日,0,688001,科创板 厉害 反向 操作 都 赚 呆
2225,3581,再次解套。,2020年5月26日,2,688001,再次 解套
2226,11875,「题材挖掘」科创板对标龙头大涨，关注以下机会！（附股）,2019年7月3日,2,688001,题材 挖掘 科创板 对标 龙头 大涨 关注 以下 机会 附股
2227,1008,都没有成交额，在这里装什么大尾巴狼,2021年4月9日,0,688001,都 没有 成交额 装 尾巴 狼
2228,9066,坚定看好华兴源创，作为科创板的龙头股，必将迎来腾飞！目标价150元！,2019年8月15日,2,688001,坚定 看好 科创板 龙头股 必将 迎来 腾飞 目标价 元
2229,7223,每天2.30来看看就行了,2019年11月22日,2,688001,每天 看看 就行了
2230,10017,兄弟们见好就收吧，,2019年8月2日,0,688001,兄弟 见好就收
2231,5476,抓紧上车，重组明天会有公告出来,2020年1月17日,2,688001,抓紧 上车 重组 明天 会 公告
2232,4750,就是不卖出，重组又加上分红大手笔，又有概念,2020年2月27日,0,688001,卖出 重组 加上 分红 大手笔 概念
2233,7062,科创板华兴源创：重组拟11.5亿元收购欧立通100%股权,2019年12月6日,1,688001,科创板 重组 拟 亿元 收购 欧立通 股权
2234,11294,40.89元干了10万不敢啊,2019年7月22日,0,688001,元干 万 不敢
2235,9025,浮动不小。真没涨几个点。拿稳吧。,2019年8月16日,0,688001,浮动 不小 真 没涨 几个 点 拿稳
2236,4749,华兴源创研发投入持续加码 2019年营业收入同比增长25.71%,2020年2月27日,2,688001,研发 投入 持续 加码 年 营业 收入 同比 增长
2237,4348,今天股东大会,2020年3月24日,2,688001,今天 股东大会
2238,1594,华兴源创(688001)融资融券信息(12-09),2020年12月10日,2,688001,融资 融券 信息
2239,1977,开通了科创板权限，账户上有7000元的余额，为什么不能委托买入？有懂的吗？谢谢,2020年10月14日,0,688001,开通 科 创板 权限 账户 元 余额 不能 委托 买入 懂 谢谢
2240,12256,兴业证券有中的朋友吗？我都三年没中了[哭],2019年6月29日,0,688001,兴业 证券 中 朋友 都 三年 没中 哭
2241,7037,快跑,2019年12月7日,0,688001,快 跑
2242,3995,华兴源创：融资净偿还132.01万元，融资余额7709.46万元（04-27）,2020年4月28日,2,688001,融资 净 偿还 万元 融资 余额 万元
2243,11045,高位截瘫，看不是中石油第二集吗？,2019年7月23日,0,688001,高位 截瘫 中 石油 第二集
2244,8094,华兴小套？银座股份诡异成交，盘面蓄势？十几年盘整图形何看,2019年9月25日,0,688001,华兴 套 银座 股份 诡异 成交 盘面 蓄势 十几年 盘整 图形 何看
2245,2987,收盘一枪拉回来,2020年6月23日,0,688001,收盘 一枪 拉回来
2246,1137,市场震荡，我该如何把握市场机会？,2021年3月1日,0,688001,市场 震荡 我该 把握 市场 机会
2247,10333,坚定看好，机会来。,2019年7月31日,2,688001,坚定 看好 机会
2248,9461,陈文源夫妇,2019年8月8日,2,688001,陈文源 夫妇
2249,12057,还行，不知道能到多远[想一下],2019年7月1日,2,688001,行 知道 能到 多远 想 一下
2250,7981,10月16日左右，科创板50指数就要推出；这对科创板是大利好；有指数就必须护盘，,2019年10月8日,2,688001,月 日 左右 科创板 指数 推出 这对科 创板 利好 指数 必须 护盘
2251,1003,华兴源创(688001)融资融券信息(04-13),2021年4月14日,2,688001,融资 融券 信息
2252,1981,公司首次覆盖报告：受益消费电子升级换代，业务多点开花,2020年9月30日,2,688001,公司 首次 覆盖 报告 受益 消费 电子 升级换代 业务 多点 开花
2253,8013,我买入400股,2019年9月30日,2,688001,买入
2254,7314,跌的最狠应该反弹最猛，应收大幅度增加，员工也开始大幅增加，都是好事！,2019年11月15日,0,688001,跌 最狠 应该 反弹 最猛 应收 大幅度 增加 员工 开始 大幅 增加 都 好事
2255,2441,这垃圾，我越补他越跌等着吧,2020年7月24日,0,688001,垃圾 越 补 越 跌
2256,11236,208亿！科创板首富诞生：21岁当技术员 中年辞职创业,2019年7月26日,2,688001,亿 科创板 首富 诞生 岁 技术员 中年 辞职 创业
2257,6328,风险太大，清仓买入美克家居,2019年12月12日,2,688001,风险 太 清仓 买入 美克 家居
2258,5520,看来2020年科创板要来劲了[大笑][赚大了][牛],2020年1月16日,2,688001,看来 年科 创板 来劲 大笑 赚大 牛
2259,10113,发力了？,2019年8月1日,0,688001,发力
2260,2907,重组花了10几个亿的无线耳机公司,2020年6月30日,1,688001,重组 花 几个 亿 无线耳机 公司
2261,12713,顶格两个，百分之0.5的希望,2019年6月27日,2,688001,顶格 两个 百分之 希望
2262,7067,688001:华兴源创发行股份及支付现金购买资产并募集配套资金暨关联交易预案,2019年12月6日,2,688001,发行 股份 支付现金 购买 资产 募集 配套 资金 暨 关联 交易 预案
2263,6217,你比一万家三板的值钱,2019年12月13日,1,688001,一万家 三板 值钱
2264,379,华兴源创：融资净偿还601.87万元，融资余额1.21亿元（08-13）,2021年8月14日,2,688001,融资 净 偿还 万元 融资 余额 亿元
2265,2028,华兴源创盘前必读(09-28),2020年9月29日,2,688001,盘前 必读
2266,11414,低位补涨潜力股,2019年7月22日,2,688001,低位 补涨 潜力股
2267,9887,买了它，有点后悔，，星期一pd,2019年8月3日,0,688001,买 有点 后悔 星期一
2268,12406,最后三位5XX的配号的小散太多了 ，所以必定被电脑排除出中奖号码，5XX默哀吧。,2019年6月28日,0,688001,最后 三位 配号 小散 太多 必定 电脑 排除 出 中奖号码 默哀
2269,710,转发,2021年6月18日,2,688001,转发
2270,11802,重点操作科创板股票,2019年7月5日,1,688001,重点 操作 科创板 股票
2271,8362,涨到70元！,2019年9月9日,0,688001,涨到 元
2272,10542,明日大张！今天买进的发财发财！,2019年7月26日,0,688001,明日 大张 今天 买进 发财 发财
2273,1259,你看看那两步道走的，扭扭哒哒得那个死色，一看就不带个价。,2021年1月27日,0,688001,看看 两步 道 走 扭扭 哒 哒 死色 一看 带个 价
2274,10243,华兴源创2019年7月投资者调研报告,2019年7月31日,0,688001,年 月 投资者 调研 报告
2275,5361,就1000股35的成本,2020年1月20日,0,688001,成本
2276,413,华兴源创，722涨停后第二天一家机构买进1.53亿，另外一个机构买进2300万元,2021年8月11日,2,688001,涨停 第二天 一家 机构 买进 亿 一个 机构 买进 万元
2277,12207,估计中签者可赚1—2万，不会再多了,2019年6月29日,0,688001,估计 中 签者 赚 万 不会
2278,7692,看了精测电子这些票肯定破发,2019年10月30日,0,688001,精测 电子 票 肯定 破发
2279,3255,6月12日晚间影响市场重要政策消息速递(附新闻联播集锦),2020年6月13日,2,688001,月 日 晚间 影响 市场 重要 政策 消息 速递 附 新闻联播 集锦
2280,3974,39卖了，赔了46万，是我人生最大的失败，我就是想不明白，上市的目的是什么？,2020年4月28日,0,688001,卖 赔 万 人生 最大 失败 想 明白 上市 目的
2281,2753,数据说话,2020年7月7日,2,688001,数据 说话
2282,200,华兴源创：连续6日融资净买入累计945.69万元（09-08）,2021年9月9日,2,688001,连续 日 融资 净 买入 累计 万元
2283,7519,今天算是科创板的大日子吗？华兴底部形成猜想,2019年11月7日,0,688001,今天 算是 科创板 日子 华兴 底部 形成 猜想
2284,6061,龙头只有一个…卓易信息…机构二亿进入……科创板…哪个票有如此大手笔…[大笑][大,2019年12月17日,0,688001,龙头 一个 机构 二亿 进入 科创板 票有 大手笔 大笑
2285,9856,击鼓传花游戏罢了,2019年8月5日,0,688001,击鼓 传花 游戏
2286,12082,开板的前几只股票一般都是精挑细选的，尤其是科创板，承载着注册制的重担，各方面都得对得起这个一号位置。但我觉得，对于这样一只股票，开盘收在35元附近还算是比较合理...,2019年6月30日,0,688001,开板 前 几只 股票 都 精挑细选 尤其 科 创板 承载 注册 制 重担 方面 都 对得起 一号 位置 觉得 一只 股票 开盘 收在 元 附近 算是 比较 合理
2287,6527,牛气冲天,2019年12月11日,2,688001,牛气 冲天
2288,8440,华兴源创(688001)融资融券信息(09-04),2019年9月5日,2,688001,融资 融券 信息
2289,8406,接受机构调研，华兴源创最受欢迎，但估值太高，趁机卖了好！,2019年9月6日,2,688001,接受 机构 调研 受欢迎 估值 太高 趁机 卖
2290,5150,牛牛牛牛股一直在,2020年2月9日,2,688001,牛牛 牛 牛股 一直
2291,9820,到处都是地雷，谁还敢投资呀！,2019年8月5日,0,688001,到处 都 地雷 敢 投资
2292,11567,华兴源创：这个名字已经有1.5亿人知道了。,2019年7月19日,2,688001,名字 已经 亿人 知道
2293,6222,12月9号至11号的龙虎榜，70%的游资都在一日游。,2019年12月13日,2,688001,月 号 号 龙虎榜 游资 都 一日游
2294,3895,放量继续扫货！！！,2020年5月7日,0,688001,放量 继续 扫货
2295,9111,这种做检测设备的垃圾都有人买，脑子被驴踢了,2019年8月14日,0,688001,这种 做 检测 设备 垃圾 都 有人 买 脑子 驴 踢
2296,3900,今天是考验华兴的时候了，是一骑绝尘，还是打回原形，关注中。,2020年5月7日,2,688001,今天 考验 华兴 时候 一骑 绝尘 打 回 原形 关注 中
2297,1195,华兴源创2020年净利同比增长54%,2021年2月5日,2,688001,年 净利 同比 增长
2298,6893,炒一下，过后一地鸡毛。,2019年12月9日,0,688001,炒 一下 过后 一地 鸡毛
2299,12961,内地财经报章头版摘要：科创板第一股40倍市盈率,2019年6月26日,0,688001,内地 财经 报章 头版 摘要 科创板 第一股 倍 市盈率
2300,11411,太伟大了，千古流芳的科创板,2019年7月22日,2,688001,太 伟大 千古 流芳 科 创板
2301,1359,华兴源创(688001)融资融券信息(01-11),2021年1月12日,2,688001,融资 融券 信息
2302,3247,用时仅4个交易日！科创板首单重大资产重组正式获批 下周一华兴源创会迎来第四个“涨停”吗?,2020年6月13日,0,688001,用时 仅 交易日 科创板 首单 重大 资产重组 正式 获批 下周一 会 迎来 第四个 涨停
2303,8812,套牢盘90%,2019年8月23日,2,688001,套牢盘
2304,5514,重组利好 科创板走牛，不知道卖的人脑子怎么想的？看好的基本都是中长线,2020年1月16日,0,688001,重组 利好 科创板 走 牛 知道 卖 脑子 想 看好 基本 都 中长线
2305,7857,又有七个小猪,2019年10月17日,2,688001,七个 小猪
2306,4832,希望是启动而不是下跌中继,2020年2月25日,0,688001,希望 启动 下跌 中继
2307,556,能不能连板啊,2021年7月22日,0,688001,不能 连板
2308,12356,1678-----1688能中吗，不中挺好,2019年6月28日,0,688001,中 不中 挺
2309,12096,很遗憾没中，也要祝愿中签者大赚特赚！！！,2019年6月30日,2,688001,遗憾 没 中 祝愿 中 签者 赚 特 赚
2310,6677,华兴源创再度涨停 成科创板首只连板个股,2019年12月10日,0,688001,再度 涨停 成科 创板首 连板 个股
2311,2426,华兴源创(688001)融资融券信息(07-27),2020年7月28日,2,688001,融资 融券 信息
2312,5034,我等到45再买,2020年2月14日,2,688001,买
2313,9610,继续努力,2019年8月7日,2,688001,继续 努力
2314,6414,只要打爆融券的，这股的高度短线在3倍！,2019年12月11日,0,688001,打爆 融券 这股 高度 短线 倍
2315,1170,华尸疆创，死翅翅,2021年2月10日,0,688001,华尸疆 创 死 翅 翅
2316,9833,已出局主力砸吧,2019年8月5日,0,688001,出局 主力 砸
2317,12176,华兴源创最新财报分析,2019年6月30日,2,688001,最新 财报 分析
2318,9317,这个时候推出是错误的，偏有一堆拍马屁。。。,2019年8月9日,0,688001,时候 推出 错误 偏有 一堆 拍马屁
2319,2470,最近新股.太高，害了旧股,2020年7月23日,0,688001,最近 新股 太高 害 旧股
2320,1789,华兴源创(688001)融资融券信息(11-12),2020年11月13日,2,688001,融资 融券 信息
2321,11983,有卖才有买，假如开盘没卖怎么定价？,2019年7月1日,0,688001,卖 买 开盘 没卖 定价
2322,11455,牛逼,2019年7月22日,2,688001,牛 逼
2323,2897,垃圾,2020年6月30日,0,688001,垃圾
2324,12472,8000 15[赞],2019年6月28日,2,688001,赞
2325,3494,发套套开始，套你没商量,2020年5月28日,0,688001,发 套套 开始 套 没商量
2326,2796,华兴源创(688001)融资融券信息(07-03),2020年7月6日,2,688001,融资 融券 信息
2327,3442,被甩下车了，赶紧下来,2020年6月1日,2,688001,甩 下车 赶紧 下来
2328,578,拿了三年，还赔呢,2021年7月22日,0,688001,三年 赔
2329,4542,大户没有出逃迹象，继续加仓哦～,2020年3月9日,0,688001,大户 没有 出逃 迹象 继续 加仓
2330,10852,688010 福光股份  各财务指标 不如603267 鸿远电子,2019年7月24日,0,688001,财务指标 鸿 远 电子
2331,10577,我们玩不过机构中签第一天卖出再也不看,2019年7月26日,0,688001,玩 机构 中签 第一天 卖出 再也 不看
2332,12204,华泰证券的，喜中一个肉签,2019年6月29日,2,688001,华泰 证券 喜中 一个 肉签
2333,7446,此股是，吸金器、吞金兽,2019年11月11日,0,688001,此股 吸 金器 吞金 兽
2334,363,688001:华兴源创:关于公司2021年半年度募集资金存放与实际使用情况的专项报告,2021年8月17日,2,688001,公司 年 半年度 募集 资金 存放 实际 使用 情况 专项 报告
2335,9679,真爱啊！,2019年8月7日,2,688001,真爱
2336,6837,华兴源创午后涨停 N佰仁大涨70%临停,2019年12月9日,2,688001,午后 涨停 佰仁 大涨 临停
2337,10904,低吸的机会越来越少，,2019年7月23日,0,688001,低吸 机会 越来越少
2338,3260,首单科创板公司重大资产重组项目通过注册,2020年6月13日,2,688001,首 单科 创板 公司 重大 资产重组 项目 注册
2339,1435,华兴源创(688001)融资融券信息(12-28),2020年12月29日,2,688001,融资 融券 信息
2340,9955,[献花][鼓掌]上海地铁祝贺！！！随喜！！！[鼓掌][献花],2019年8月2日,2,688001,献花 鼓掌 上海 地铁 祝贺 随喜 鼓掌 献花
2341,8885,不值得同情,2019年8月21日,0,688001,值得 同情
2342,6415,跌那么多怎么没人询问呢,2019年12月11日,0,688001,跌 没 询问
2343,6871,科创板己经超跌好久了，来个涨停也很正常,2019年12月9日,0,688001,科创 板己 超跌 好久 来个 涨停 正常
2344,9672,我发现分时每成交1万多，成交额只跳了百多万。难道分时按每股算的,2019年8月7日,0,688001,发现 分时 成交 万多 成交额 跳 百 多万 难道 分时 每股 算
2345,6679,奥福环保快上车！,2019年12月10日,2,688001,快上车
2346,6424,卖飞了，嫉妒使我面目全非，恭喜里面发财的，希望中微公司也来个涨停啊,2019年12月11日,0,688001,卖飞 嫉妒 面目全非 恭喜 里面 发财 希望 涨停
2347,4878,华兴源创(688001)融资融券信息(02-21),2020年2月22日,2,688001,融资 融券 信息
2348,6676,明天来个跌板就美丽了！至少心里平衡了,2019年12月10日,2,688001,明天 来个 跌板 美丽 至少 心里 平衡
2349,11353,我中签，我卖掉，我快乐！！！！！！,2019年7月22日,2,688001,中 签 卖掉 快乐
2350,3580,科创板首单并购重组审核通过！华兴源创10亿元收购欧立通,2020年5月26日,2,688001,科创板 首单 并购 重组 审核 亿元 收购 欧立通
2351,7915,继续融券砸,2019年10月14日,0,688001,继续 融券 砸
2352,9497,目测要打板的节奏，地板……,2019年8月8日,0,688001,目测 打板 节奏 地板
2353,5524,特斯拉来了,2020年1月16日,2,688001,特斯拉
2354,2730,尾盘出货的如果是主力的话有情可原，人家是洗盘！如果是散户你这脑袋得……得用[微笑,2020年7月8日,0,688001,尾盘 出货 主力 有情可原 洗盘 散户 脑袋 微笑
2355,9150,看看航可直接9万股干掉,2019年8月13日,0,688001,看看 航可 直接 万股 干掉
2356,9938,静待尾盘跳水,2019年8月2日,2,688001,静待 尾盘 跳水
2357,6177,爽歪歪,2019年12月13日,2,688001,爽歪歪
2358,3398,明天巨阳,2020年6月3日,2,688001,明天 巨阳
2359,12167,华兴本次发行价为24.26元/股，发行市盈率为41.08倍。采用市盈率估值法简单横向比较，2016年以来，专用设备制造业共有52只个股上市，平均涨停板数量为10...,2019年6月30日,0,688001,华兴 本次 发行价 元 发行 市盈率 倍 采用 市盈率 估值 法 简单 横向 比较 年 专用设备 制造业 共有 个股 上市 平均 涨停板 数量
2360,3154,速度跟进！[大笑],2020年6月16日,2,688001,速度 跟进 大笑
2361,106,今天继续创新低。收盘35.7,2021年9月29日,0,688001,今天 继续 创新 低 收盘
2362,11740,这估值，傻子才买吧，两倍市净合适，5元左右,2019年7月9日,0,688001,估值 傻子 买 两倍 市净 合适 元 左右
2363,8876,真龙观点,2019年8月21日,1,688001,真龙 观点
2364,8385,科创板明天集体涨停板来一次激发一下高科技实验田的积极性,2019年9月9日,2,688001,科创板 明天 集体 涨停板 一次 激发 一下 高科技 实验田 积极性
2365,1208,这时候4手4手出有点不合理啊,2021年2月5日,0,688001,这时候 手 手出 有点 不合理
2366,10782,"快上车,明天大有作为！，",2019年7月24日,2,688001,快上车 明天 大有作为
2367,838,华兴源创(688001)融资融券信息(05-17),2021年5月18日,2,688001,融资 融券 信息
2368,4840,我已经开始关注该股，明确给大家提示,2020年2月25日,2,688001,已经 开始 关注 该股 明确 大家 提示
2369,5105,年报利润至少2个亿，同类华锋测控马上上市，股价至少升2倍，到300元；科创第一重,2020年2月12日,0,688001,年报 利润 至少 亿 同类 华锋 测控 马上 上市 股价 至少 升 倍 元 科创 第一重
2370,6939,科创兴，华兴王，大家冲啊，抢狗庄的筹码,2019年12月9日,0,688001,科创兴 华兴 王 大家 冲 抢狗庄 筹码
2371,3522,创板第一重组股，必须牛，大牛股！,2020年5月27日,2,688001,创板 第一 重组股 必须 牛 大牛股
2372,644,这股走得很“稳健”，没有下跌空间，但走得确实好慢,2021年7月9日,0,688001,这股 走 稳健 没有 下跌 空间 走 确实 好慢
2373,505,这股主力在出货！赶紧远离,2021年7月27日,0,688001,主力 出货 赶紧 远离
2374,3364,一直说这股分歧太大，涨不上去的,2020年6月5日,0,688001,一直 说 这股 分歧 太 涨 上去
2375,443,上方压力重重，很难上去，高抛低吸为主。,2021年8月4日,0,688001,上方 压力 重重 很难 上去 高抛低吸 为主
2376,5663,科创板不是我们玩的,2020年1月7日,0,688001,科创板 玩
2377,3422,明天50以下最后的进入机会啦！本周的目标价60,2020年6月2日,2,688001,明天 以下 最后 进入 机会 本周 目标价
2378,2703,被指数强拉上去的都没有好下场,2020年7月9日,0,688001,指数 强 拉上去 都 没有 好下场
2379,9747,赶快卖。,2019年8月6日,2,688001,赶快 卖
2380,4245,早就发过贴这大势下不如换688015还能图个稳健。,2020年3月30日,0,688001,早就 发过 贴 大势 换 图个 稳健
2381,8259,强力拉升，分分钟冲[大笑],2019年9月16日,2,688001,强力 拉升 分 分钟 冲 大笑
2382,6052,这是什么收购套路？,2019年12月18日,0,688001,这是 收购 套路
2383,12579,一签难求！科创板第一股被猛抢：机构申购258倍，散户申购477倍,2019年6月28日,0,688001,一签 难求 科创板 第一股 猛 抢 机构 申购 倍 散户 申购 倍
2384,11068,有人哭，有人笑,2019年7月22日,2,688001,有人 哭 有人 笑
2385,595,这货出过业绩预告么？,2021年7月21日,0,688001,这货 出过 业绩 预告
2386,6793,精准介入,2019年12月10日,2,688001,精准 介入
2387,2988,48不卖，受不了吧,2020年6月23日,0,688001,不卖 受不了
2388,8741,华兴源创：融资净买入611.36万元，融资余额7789.45万元（08-23）,2019年8月26日,2,688001,融资 净 买入 万元 融资 余额 万元
2389,8766,我仍然坚信，将来科创板肯定能出大牛股高价股！688001华兴源创就是其一！！！敬,2019年8月23日,2,688001,仍然 坚信 将来 科创板 肯定 能出 大牛股 高价股 敬
2390,7031,如果真的是优质资产，殴立通为什么自己不上市？,2019年12月7日,0,688001,真的 优质 资产 殴立通 自己 上市
2391,7684,笑笑，哈哈哈，第一股。不知道下面会出什么版？地板？,2019年10月30日,0,688001,笑笑 哈哈哈 第一股 知道 下面 会出 版 地板
2392,12007,尾号5558314老子中了50O股美美达,2019年7月1日,2,688001,尾号 老子 中 美美 达
2393,8340,揭秘它们为何在IPO时都采取这样的股权架构？,2019年9月10日,0,688001,揭秘 时 都 采取 股权 架构
